epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8693,3.35331,3.99205,0.02326,0.72112,0.02317,0.01638,0.00502,3.23558,3.54151,0.03218,0.000331658,0.000331658,0.0671658
2,71.7961,3.01096,3.31633,0.01897,0.18736,0.10585,0.08607,0.02308,2.92501,3.02169,0.0277,0.000662797,0.000662797,0.0341636
3,106.589,2.76106,2.7525,0.01686,0.54315,0.19248,0.13729,0.04133,2.63974,2.55016,0.02443,0.000991736,0.000991736,0.00115924
4,140.817,2.57278,2.47752,0.01542,0.5704,0.21738,0.161,0.06309,2.3996,2.25112,0.02056,0.0009901,0.0009901,0.0009901
5,175.232,2.47073,2.25107,0.01369,0.65087,0.22425,0.22053,0.09812,2.09968,2.0428,0.01642,0.0009868,0.0009868,0.0009868
6,209.313,2.32899,2.12413,0.01363,0.67752,0.27521,0.27701,0.13075,2.05242,1.90221,0.01558,0.0009835,0.0009835,0.0009835
7,243.857,2.22193,1.98021,0.01245,0.66494,0.29135,0.33922,0.1687,1.94002,1.77562,0.01434,0.0009802,0.0009802,0.0009802
8,278.172,2.15505,1.90111,0.01166,0.68192,0.31994,0.32343,0.16869,1.88561,1.69739,0.01388,0.0009769,0.0009769,0.0009769
9,312.263,2.07351,1.84115,0.01164,0.60418,0.39161,0.36976,0.21107,1.8257,1.62108,0.013,0.0009736,0.0009736,0.0009736
10,346.254,2.06535,1.75591,0.01086,0.46824,0.41561,0.39441,0.21768,1.87241,1.63962,0.01399,0.0009703,0.0009703,0.0009703
11,380.23,1.99833,1.7027,0.01056,0.66349,0.3513,0.411,0.22664,1.76102,1.52972,0.0128,0.000967,0.000967,0.000967
12,414.342,1.965,1.65722,0.01064,0.52952,0.44285,0.4346,0.2431,1.75135,1.48095,0.01268,0.0009637,0.0009637,0.0009637
13,448.505,1.9289,1.63279,0.00996,0.61085,0.41255,0.45599,0.25471,1.74123,1.44963,0.01213,0.0009604,0.0009604,0.0009604
14,482.579,1.9159,1.58389,0.00991,0.6363,0.42675,0.45859,0.26034,1.71381,1.44789,0.01284,0.0009571,0.0009571,0.0009571
15,516.62,1.85759,1.52502,0.00952,0.63117,0.40966,0.47245,0.28115,1.70863,1.38336,0.01287,0.0009538,0.0009538,0.0009538
16,550.631,1.82019,1.50841,0.00919,0.62516,0.41315,0.48941,0.29527,1.70752,1.33669,0.01211,0.0009505,0.0009505,0.0009505
17,584.816,1.79799,1.45947,0.00873,0.59281,0.46041,0.48282,0.29857,1.55325,1.31739,0.01038,0.0009472,0.0009472,0.0009472
18,618.764,1.78259,1.45831,0.00893,0.66172,0.43776,0.50179,0.30102,1.59598,1.30807,0.01066,0.0009439,0.0009439,0.0009439
19,653.164,1.74358,1.42053,0.00859,0.66577,0.43952,0.51078,0.30145,1.65659,1.26135,0.0114,0.0009406,0.0009406,0.0009406
20,692.029,1.74733,1.3975,0.00821,0.7142,0.44783,0.53279,0.33014,1.55482,1.22434,0.01092,0.0009373,0.0009373,0.0009373
21,728.637,1.71397,1.36892,0.00816,0.70317,0.45205,0.53836,0.34088,1.54302,1.17705,0.01054,0.000934,0.000934,0.000934
22,765.925,1.69402,1.35517,0.00801,0.63478,0.43867,0.52776,0.33537,1.5091,1.17548,0.01021,0.0009307,0.0009307,0.0009307
23,802.261,1.6939,1.35372,0.00806,0.69636,0.47162,0.54931,0.33999,1.48324,1.16139,0.00961,0.0009274,0.0009274,0.0009274
24,838.476,1.66634,1.32001,0.00803,0.75545,0.47579,0.57408,0.35807,1.48754,1.1245,0.00997,0.0009241,0.0009241,0.0009241
25,875.228,1.66301,1.29534,0.00765,0.78022,0.46748,0.56585,0.35825,1.47812,1.12068,0.00927,0.0009208,0.0009208,0.0009208
26,911.541,1.62698,1.28146,0.00741,0.72404,0.4699,0.55349,0.35655,1.49141,1.14613,0.00938,0.0009175,0.0009175,0.0009175
27,948.65,1.61972,1.2761,0.00766,0.75604,0.47988,0.56929,0.3696,1.41631,1.0879,0.00902,0.0009142,0.0009142,0.0009142
28,985.722,1.58319,1.25907,0.00764,0.71137,0.48393,0.5549,0.35996,1.44439,1.14199,0.00938,0.0009109,0.0009109,0.0009109
29,1022.15,1.56471,1.23812,0.00713,0.74137,0.48756,0.58638,0.38331,1.42296,1.082,0.00922,0.0009076,0.0009076,0.0009076
30,1059.75,1.56108,1.21255,0.00708,0.68103,0.53698,0.59022,0.3925,1.38949,1.05788,0.00829,0.0009043,0.0009043,0.0009043
31,1096.95,1.56334,1.20546,0.007,0.79129,0.49257,0.59823,0.39708,1.39647,1.0447,0.00879,0.000901,0.000901,0.000901
32,1133.88,1.55676,1.20607,0.00732,0.75803,0.47199,0.58987,0.39284,1.37185,1.04858,0.00836,0.0008977,0.0008977,0.0008977
33,1170.51,1.55795,1.19898,0.00718,0.71041,0.53188,0.59964,0.3972,1.39123,1.02925,0.00868,0.0008944,0.0008944,0.0008944
34,1207.47,1.53321,1.18318,0.00662,0.66601,0.54646,0.59689,0.39513,1.33916,1.05533,0.00863,0.0008911,0.0008911,0.0008911
35,1244.37,1.51646,1.15996,0.00679,0.77527,0.49425,0.59476,0.39555,1.36382,1.04938,0.00854,0.0008878,0.0008878,0.0008878
36,1280.87,1.52462,1.16072,0.00669,0.72251,0.52742,0.60718,0.39768,1.40863,1.04452,0.0101,0.0008845,0.0008845,0.0008845
37,1318.4,1.51657,1.1635,0.0066,0.6871,0.56217,0.60949,0.40907,1.35472,1.02959,0.00927,0.0008812,0.0008812,0.0008812
38,1355.41,1.48447,1.14899,0.00649,0.79288,0.51229,0.60933,0.41051,1.30911,1.0007,0.00896,0.0008779,0.0008779,0.0008779
39,1391.99,1.49312,1.1513,0.00662,0.82193,0.53019,0.61917,0.42534,1.30363,0.96605,0.0079,0.0008746,0.0008746,0.0008746
40,1428.94,1.47396,1.11427,0.00624,0.79776,0.51625,0.62441,0.42018,1.33528,0.9842,0.00836,0.0008713,0.0008713,0.0008713
41,1465.48,1.47597,1.11399,0.00621,0.77007,0.53908,0.6238,0.42383,1.30732,0.95134,0.00898,0.000868,0.000868,0.000868
42,1502.11,1.48805,1.10942,0.00613,0.77391,0.55303,0.61691,0.41913,1.30285,1.00694,0.00755,0.0008647,0.0008647,0.0008647
43,1538.83,1.48339,1.1114,0.00647,0.70496,0.57261,0.62533,0.41867,1.2921,0.96493,0.00803,0.0008614,0.0008614,0.0008614
44,1575.15,1.441,1.09313,0.00608,0.79743,0.51411,0.61532,0.42917,1.30356,0.99286,0.00809,0.0008581,0.0008581,0.0008581
45,1611.99,1.43513,1.08311,0.00613,0.73347,0.56586,0.62608,0.42474,1.26854,0.98903,0.00746,0.0008548,0.0008548,0.0008548
46,1648.27,1.4068,1.075,0.0059,0.74071,0.56223,0.63115,0.43298,1.2608,0.92219,0.00735,0.0008515,0.0008515,0.0008515
